unit,wins,make_playoffs,win_finals
bos,63,1,0.28800000000000003
lac,58,1,0.223
okc,56,1,0.026000000000000002
cle,54,1,0.091
den,54,1,0.068
min,53,0.9990000000000001,0.047
phi,53,1,0.062
mil,53,1,0.11
ny,51,0.9990000000000001,0.012
no,48,0.9470000000000001,0.013000000000000001
ind,47,0.972,0.011000000000000001
sac,44,0.68,0.006999999999999999
phx,44,0.6659999999999999,0.005
uta,43,0.47200000000000003,0.005
dal,42,0.461,0.006
orl,42,0.763,0.001
lal,42,0.371,0.008
gs,42,0.364,0.012
mia,41,0.7440000000000001,0.005
chi,38,0.304,0
hou,37,0.040999999999999995,0
atl,34,0.08,0
bkn,34,0.077,0
tor,33,0.062,0
mem,32,0,0
por,22,0,0
sa,20,0,0
cha,19,0,0
wsh,17,0,0
det,16,0,0
