TEAM,WIN-LOSS,PLAY-OFFS,NBATITLE,DRAFTTOP 3,unit,wins,make_playoffs,win_finals
BOS,56-26,100,20.6%,<0.1%,bos,56,1,0.20600000000000002
PHI,52-30,99.3%,12.2%,<0.1%,phi,52,0.993,0.122
MIL,53-29,99.2%,7.9%,<0.1%,mil,53,0.992,0.079
CLE,52-30,98.6%,5.7%,<0.1%,cle,52,0.986,0.057
ATL,49-33,96.7%,4.8%,<0.1%,atl,49,0.9670000000000001,0.048
TOR,47-35,91.8%,2.7%,0.3%,tor,47,0.9179999999999999,0.027000000000000003
MIA,43-39,68.0%,1.2%,2.3%,mia,43,0.68,0.012
BKN,40-42,43.9%,0.6%,5.2%,bkn,40,0.439,0.006
CHA,38-44,28.6%,0.2%,8.0%,cha,38,0.28600000000000003,0.002
CHI,39-43,31.3%,0.2%,7.3%,chi,39,0.313,0.002
WSH,39-43,28.3%,0.1%,8.2%,wsh,39,0.28300000000000003,0.001
NY,35-47,10.1%,0,15.9%,ny,35,0.10099999999999999,0
IND,33-49,4.2%,0.0%,21.3%,ind,33,0.042,0
ORL,24-58,0,0.0%,38.4%,orl,24,0,0
DET,22-60,0.0%,0.0%,39.4%,det,22,0,0
PHX,55-27,100,15.8%,<0.1%,phx,55,1,0.158
DAL,51-31,99.1%,9.2%,<0.1%,dal,51,0.991,0.092
MEM,47-35,94.1%,4.6%,0.3%,mem,47,0.941,0.046
NO,48-34,94.8%,4.1%,0.3%,no,48,0.948,0.040999999999999995
GS,45-37,86.9%,3.8%,0.7%,gs,45,0.8690000000000001,0.038
DEN,46-36,90.9%,3.0%,0.5%,den,46,0.909,0.03
UTH,45-37,82.8%,1.5%,1.1%,uta,45,0.828,0.015
MIN,43-39,69.3%,1.2%,2.3%,min,43,0.693,0.012
LAC,38-44,29.9%,0.2%,8.7%,lac,38,0.299,0.002
POR,37-45,18.9%,0.1%,12.1%,por,37,0.18899999999999997,0.001
LAL,37-45,19.7%,0,11.6%,lal,37,0.19699999999999998,0
SAC,35-47,12.4%,0,14.9%,sac,35,0.124,0
SA,30-52,1.2%,0,28.6%,sa,30,0.012,0
OKC,28-54,0.2%,0.0%,33.4%,okc,28,0.002,0
HOU,22-60,0.0%,0.0%,39.1%,hou,22,0,0
