TEAM,WIN-LOSS,PLAY-OFFS,NBATITLE,DRAFTTOP 3
BOS,59-23,>99.9%,28.6%,<0.1%
PHI,51-31,99.1%,9.8%,<0.1%
CLE,52-30,99.4%,7.8%,<0.1%
MIL,52-30,99.2%,6.7%,<0.1%
ATL,49-33,97.3%,4.2%,0.1%
BKN,44-38,81.2%,1.7%,1.0%
TOR,44-38,76.4%,1.0%,1.5%
MIA,43-39,71.5%,1.0%,1.9%
WSH,39-43,28.1%,<0.1%,7.6%
CHI,37-45,24.0%,<0.1%,9.4%
IND,35-47,10.1%,<0.1%,15.5%
NY,35-47,9.5%,<0.1%,15.9%
CHA,33-49,4.1%,0.0%,21.6%
ORL,26-56,<0.1%,0.0%,35.1%
DET,21-61,0.0%,0.0%,40.5%
PHX,52-30,99.4%,12.9%,<0.1%
DAL,49-33,97.1%,6.3%,<0.1%
MEM,49-33,97.1%,6.2%,<0.1%
DEN,49-33,97.1%,5.2%,0.1%
UTH,48-34,95.2%,2.7%,0.2%
GS,44-38,79.2%,2.6%,1.1%
NO,46-36,86.3%,2.4%,0.7%
MIN,39-43,33.0%,0.3%,6.6%
LAC,38-44,28.1%,0.2%,8.3%
POR,41-41,46.5%,0.2%,3.9%
SAC,40-42,36.1%,0.1%,5.7%
LAL,33-49,4.3%,<0.1%,20.5%
SA,29-53,0.4%,0.0%,31.0%
OKC,28-54,0.2%,0.0%,32.7%
HOU,22-60,0.0%,0.0%,38.9%
