unit,wins,make_playoffs,win_finals
bos,59,1,0.38
mem,54,1,0.132
den,53,1,0.068
bkn,52,0.9990000000000001,0.052000000000000005
cle,51,0.998,0.075
phi,51,0.998,0.131
mil,47,0.96,0.008
no,47,0.9440000000000001,0.023
mia,45,0.905,0.021
sac,45,0.8079999999999999,0.009000000000000001
dal,44,0.8320000000000001,0.017
ny,44,0.769,0.005
phx,43,0.713,0.03
gs,43,0.655,0.015
lac,43,0.645,0.018000000000000002
por,42,0.502,0.006
atl,41,0.517,0.003
ind,41,0.462,0.001
min,40,0.345,0.003
uta,40,0.32799999999999996,0.002
lal,39,0.221,0.002
tor,38,0.20800000000000002,0
chi,37,0.139,0
wsh,35,0.046,0
okc,34,0.008,0
orl,29,0,0
cha,26,0,0
sa,24,0,0
det,22,0,0
hou,21,0,0
