unit,wins,make_playoffs,win_finals
bos,66,1,0.517
den,58,1,0.064
okc,57,1,0.022000000000000002
min,56,1,0.062
mil,52,1,0.12
lac,52,0.998,0.07
cle,51,1,0.057
no,50,0.963,0.008
ny,49,0.9990000000000001,0.015
orl,49,0.995,0.002
dal,48,0.922,0.024
phx,47,0.778,0.005
sac,46,0.665,0.004
mia,46,0.937,0.006999999999999999
ind,45,0.9079999999999999,0.002
lal,45,0.34299999999999997,0.008
gs,44,0.32,0.006999999999999999
phi,44,0.866,0.009000000000000001
hou,40,0.011000000000000001,0
chi,40,0.14400000000000002,0
atl,36,0.149,0
uta,33,0,0
bkn,31,0.003,0
mem,27,0,0
tor,26,0,0
por,22,0,0
cha,19,0,0
sa,19,0,0
wsh,16,0,0
det,15,0,0
