unit,wins,make_playoffs,win_finals
bos,65,1,0.503
okc,57,1,0.027000000000000003
den,57,1,0.073
min,56,1,0.064
lac,52,1,0.061
mil,52,1,0.12
dal,50,0.997,0.032
cle,50,1,0.039
no,50,0.953,0.009000000000000001
ny,49,0.997,0.021
phx,48,0.821,0.006999999999999999
orl,47,0.971,0.001
ind,46,0.955,0.005
sac,46,0.46,0.001
lal,46,0.452,0.01
mia,46,0.934,0.008
gs,45,0.31,0.009000000000000001
phi,44,0.865,0.01
hou,42,0.008,0
chi,39,0.10300000000000001,0
atl,38,0.177,0.001
bkn,32,0,0
uta,30,0,0
mem,27,0,0
tor,25,0,0
por,21,0,0
sa,20,0,0
cha,19,0,0
wsh,16,0,0
det,14,0,0
