unit,wins,make_playoffs,win_finals
bos,57,1,0.322
phi,53,1,0.187
den,53,1,0.066
mil,51,0.998,0.019
mem,50,0.998,0.102
cle,49,0.995,0.055999999999999994
bkn,49,0.9940000000000001,0.026000000000000002
lac,46,0.9640000000000001,0.10800000000000001
sac,46,0.907,0.013000000000000001
mia,44,0.848,0.009000000000000001
phx,44,0.846,0.039
atl,43,0.7559999999999999,0.006999999999999999
ny,43,0.727,0.012
gs,42,0.649,0.011000000000000001
por,42,0.564,0.006999999999999999
dal,42,0.5479999999999999,0.004
uta,41,0.49200000000000005,0.001
lal,41,0.405,0.006
min,40,0.353,0.003
no,40,0.255,0
tor,39,0.218,0.001
wsh,39,0.192,0
chi,39,0.185,0.001
ind,37,0.087,0
okc,36,0.022000000000000002,0
orl,32,0.002,0
cha,26,0,0
det,22,0,0
sa,22,0,0
hou,20,0,0
