TEAM,WIN-LOSS,PLAY-OFFS,NBATITLE,DRAFTTOP 3
BOS,56-26,>99.9%,19.1%,<0.1%
PHI,51-31,98.6%,10.4%,<0.1%
MIL,54-28,99.7%,9.5%,<0.1%
CLE,53-29,99.6%,7.3%,<0.1%
ATL,49-33,96.5%,4.9%,0.2%
TOR,47-35,91.5%,2.3%,0.4%
BKN,43-39,66.5%,1.5%,2.2%
MIA,42-40,61.0%,0.7%,2.7%
CHI,39-43,33.3%,0.2%,6.6%
CHA,37-45,20.0%,<0.1%,10.8%
NY,36-46,14.8%,<0.1%,13.5%
IND,34-48,5.8%,<0.1%,19.4%
WSH,36-46,12.6%,<0.1%,13.9%
ORL,25-57,<0.1%,0.0%,37.7%
DET,21-61,0.0%,0.0%,39.4%
PHX,54-28,99.8%,14.4%,<0.1%
DAL,51-31,98.9%,8.8%,<0.1%
MEM,49-33,96.6%,6.2%,0.1%
NO,48-34,95.4%,4.2%,0.2%
DEN,47-35,92.3%,3.8%,0.3%
GS,44-38,78.5%,3.0%,1.3%
UTH,47-35,90.7%,2.2%,0.5%
MIN,41-41,55.2%,0.8%,3.9%
LAC,39-43,38.0%,0.2%,6.5%
POR,38-44,25.2%,0.1%,9.3%
LAL,36-46,14.9%,0.1%,13.5%
SAC,36-46,13.7%,<0.1%,14.7%
SA,30-52,0.7%,0.0%,30.0%
OKC,28-54,0.2%,0.0%,33.8%
HOU,22-60,0.0%,0.0%,39.1%
