unit,wins,make_playoffs,win_finals
bos,64,1,0.298
okc,55,1,0.028999999999999998
phi,54,0.9990000000000001,0.083
mil,54,0.9990000000000001,0.151
min,54,0.9990000000000001,0.055
den,54,1,0.09
lac,53,0.9990000000000001,0.142
cle,49,0.968,0.044000000000000004
ny,48,0.909,0.004
mia,47,0.9179999999999999,0.017
ind,47,0.889,0.01
no,47,0.892,0.012
sac,44,0.7440000000000001,0.01
orl,44,0.654,0.003
dal,44,0.69,0.012
gs,44,0.6990000000000001,0.025
phx,43,0.581,0.006
bkn,39,0.266,0.002
atl,39,0.207,0.002
hou,39,0.17800000000000002,0.002
lal,39,0.205,0.004
tor,38,0.149,0.001
chi,36,0.040999999999999995,0
uta,34,0.013999999999999999,0
mem,31,0.002,0
cha,23,0,0
por,21,0,0
wsh,19,0,0
det,15,0,0
sa,15,0,0
