unit,wins,make_playoffs,win_finals
bos,60,1,0.20600000000000002
phi,56,1,0.11
mil,52,0.993,0.133
den,52,0.99,0.099
min,50,0.963,0.064
okc,50,0.96,0.028999999999999998
cle,48,0.941,0.051
ny,47,0.905,0.02
phx,46,0.82,0.021
dal,46,0.815,0.027999999999999997
mia,46,0.823,0.024
atl,45,0.772,0.018000000000000002
sac,45,0.7490000000000001,0.025
gs,45,0.7879999999999999,0.049
lac,44,0.765,0.07
bkn,44,0.7290000000000001,0.012
no,42,0.48,0.01
lal,41,0.48200000000000004,0.018000000000000002
ind,41,0.428,0.005
tor,38,0.214,0.001
orl,38,0.174,0.001
hou,36,0.078,0.001
uta,35,0.052000000000000005,0.001
mem,34,0.057,0.002
chi,32,0.021,0
cha,27,0.001,0
wsh,26,0,0
det,25,0,0
por,23,0,0
sa,20,0,0
