TEAM,WIN-LOSS,PLAY-OFFS,NBATITLE,DRAFTTOP 3,unit,wins,make_playoffs,win_finals
BOS,59-23,100,28.8%,<0.1%,bos,59,1,0.28800000000000003
PHI,51-31,99.2%,10.4%,<0.1%,phi,51,0.992,0.10400000000000001
CLE,52-30,99.2%,7.1%,<0.1%,cle,52,0.992,0.071
MIL,51-31,98.8%,5.4%,<0.1%,mil,51,0.988,0.054000000000000006
ATL,50-32,98.0%,4.8%,0.1%,atl,50,0.98,0.048
BKN,43-39,72.0%,1.4%,2.2%,bkn,43,0.72,0.013999999999999999
TOR,44-38,80.3%,1.1%,1.1%,tor,44,0.8029999999999999,0.011000000000000001
MIA,43-39,74.2%,1.0%,1.5%,mia,43,0.742,0.01
WSH,39-43,28.4%,0,7.7%,wsh,39,0.284,0
CHI,38-44,22.4%,0,9.6%,chi,38,0.22399999999999998,0
NY,36-46,14.0%,0,13.4%,ny,36,0.14,0
IND,35-47,8.5%,0.0%,16.6%,ind,35,0.085,0
CHA,34-48,4.9%,0.0%,19.8%,cha,34,0.049,0
ORL,26-56,0,0.0%,37.0%,orl,26,0,0
DET,21-61,0.0%,0.0%,40.1%,det,21,0,0
PHX,52-30,99.3%,14.2%,<0.1%,phx,52,0.993,0.142
DAL,49-33,96.4%,6.2%,0.1%,dal,49,0.9640000000000001,0.062
MEM,48-34,93.7%,5.1%,0.2%,mem,48,0.937,0.051
DEN,49-33,94.9%,4.5%,0.2%,den,49,0.9490000000000001,0.045
GS,46-36,84.7%,3.9%,0.8%,gs,46,0.847,0.039
NO,46-36,86.5%,2.6%,0.5%,no,46,0.865,0.026000000000000002
UTH,46-36,88.4%,1.8%,0.4%,uta,46,0.884,0.018000000000000002
SAC,42-40,49.3%,0.7%,3.4%,sac,42,0.493,0.006999999999999999
MIN,39-43,28.1%,0.3%,7.3%,min,39,0.281,0.003
POR,41-41,43.0%,0.2%,4.1%,por,41,0.43,0.002
LAC,40-42,32.4%,0.2%,6.7%,lac,40,0.324,0.002
LAL,33-49,3.1%,0,20.0%,lal,33,0.031,0
OKC,28-54,0.1%,0.0%,32.7%,okc,28,0.001,0
SA,28-54,0.1%,0.0%,33.8%,sa,28,0.001,0
HOU,22-60,0.0%,0.0%,40.6%,hou,22,0,0
