TEAM,WIN-LOSS,PLAY-OFFS,NBATITLE,DRAFTTOP 3,unit,wins,make_playoffs,win_finals
BOS,56-26,100,19.1%,<0.1%,bos,56,1,0.191
PHI,51-31,98.6%,10.4%,<0.1%,phi,51,0.986,0.10400000000000001
MIL,54-28,99.7%,9.5%,<0.1%,mil,54,0.997,0.095
CLE,53-29,99.6%,7.3%,<0.1%,cle,53,0.996,0.073
ATL,49-33,96.5%,4.9%,0.2%,atl,49,0.965,0.049
TOR,47-35,91.5%,2.3%,0.4%,tor,47,0.915,0.023
BKN,43-39,66.5%,1.5%,2.2%,bkn,43,0.665,0.015
MIA,42-40,61.0%,0.7%,2.7%,mia,42,0.61,0.006999999999999999
CHI,39-43,33.3%,0.2%,6.6%,chi,39,0.33299999999999996,0.002
CHA,37-45,20.0%,0,10.8%,cha,37,0.2,0
NY,36-46,14.8%,0,13.5%,ny,36,0.14800000000000002,0
IND,34-48,5.8%,0,19.4%,ind,34,0.057999999999999996,0
WSH,36-46,12.6%,0,13.9%,wsh,36,0.126,0
ORL,25-57,0,0.0%,37.7%,orl,25,0,0
DET,21-61,0.0%,0.0%,39.4%,det,21,0,0
PHX,54-28,99.8%,14.4%,<0.1%,phx,54,0.998,0.14400000000000002
DAL,51-31,98.9%,8.8%,<0.1%,dal,51,0.9890000000000001,0.08800000000000001
MEM,49-33,96.6%,6.2%,0.1%,mem,49,0.966,0.062
NO,48-34,95.4%,4.2%,0.2%,no,48,0.9540000000000001,0.042
DEN,47-35,92.3%,3.8%,0.3%,den,47,0.9229999999999999,0.038
GS,44-38,78.5%,3.0%,1.3%,gs,44,0.785,0.03
UTH,47-35,90.7%,2.2%,0.5%,uta,47,0.907,0.022000000000000002
MIN,41-41,55.2%,0.8%,3.9%,min,41,0.552,0.008
LAC,39-43,38.0%,0.2%,6.5%,lac,39,0.38,0.002
POR,38-44,25.2%,0.1%,9.3%,por,38,0.252,0.001
LAL,36-46,14.9%,0.1%,13.5%,lal,36,0.149,0.001
SAC,36-46,13.7%,0,14.7%,sac,36,0.13699999999999998,0
SA,30-52,0.7%,0.0%,30.0%,sa,30,0.006999999999999999,0
OKC,28-54,0.2%,0.0%,33.8%,okc,28,0.002,0
HOU,22-60,0.0%,0.0%,39.1%,hou,22,0,0
