unit,wins,make_playoffs,win_finals
mil,58,1,0.091
bos,57,1,0.307
phi,54,1,0.14400000000000002
den,54,1,0.038
mem,52,1,0.115
cle,51,1,0.055
sac,50,1,0.012
ny,48,1,0.066
bkn,45,0.998,0.001
phx,45,0.9990000000000001,0.02
lac,43,0.956,0.11699999999999999
gs,43,0.935,0.01
mia,43,0.758,0
lal,42,0.794,0.015
min,42,0.579,0.002
no,41,0.507,0.002
tor,41,0.547,0.003
atl,40,0.342,0
dal,40,0.17300000000000001,0.002
chi,40,0.354,0.001
okc,40,0.053,0
uta,38,0.005,0
wsh,36,0.001,0
ind,36,0,0
orl,35,0,0
por,33,0,0
cha,27,0,0
hou,20,0,0
sa,20,0,0
det,17,0,0
