unit,wins,make_playoffs,win_finals
bos,64,1,0.318
min,58,1,0.10400000000000001
cle,57,1,0.127
lac,56,1,0.153
okc,55,0.9990000000000001,0.019
den,51,0.977,0.031
no,50,0.935,0.012
ny,49,0.9940000000000001,0.019
mil,48,0.995,0.091
phx,48,0.81,0.012
dal,47,0.779,0.024
phi,47,0.977,0.028999999999999998
gs,46,0.598,0.025
orl,45,0.922,0.004
lal,45,0.479,0.015
sac,45,0.415,0.004
mia,44,0.897,0.009000000000000001
ind,44,0.872,0.005
uta,38,0.006,0
chi,38,0.166,0
hou,36,0.002,0
atl,36,0.139,0.001
bkn,33,0.034,0
mem,30,0,0
tor,30,0.004,0
por,23,0,0
cha,18,0,0
sa,18,0,0
det,16,0,0
wsh,16,0,0
