unit,wins,make_playoffs,win_finals
bos,64,1,0.307
min,58,1,0.10300000000000001
cle,57,1,0.128
lac,56,1,0.155
okc,55,1,0.019
den,51,0.9790000000000001,0.033
no,50,0.929,0.013000000000000001
ny,49,0.9940000000000001,0.017
mil,48,0.993,0.08900000000000001
phx,48,0.8290000000000001,0.016
dal,47,0.768,0.026000000000000002
phi,47,0.9740000000000001,0.034
gs,46,0.602,0.027000000000000003
orl,45,0.9209999999999999,0.002
lal,45,0.47700000000000004,0.013999999999999999
sac,44,0.408,0.002
mia,44,0.9009999999999999,0.009000000000000001
ind,44,0.8740000000000001,0.006999999999999999
uta,38,0.006,0
chi,38,0.162,0
hou,36,0.003,0
atl,36,0.145,0.001
bkn,33,0.031,0
mem,30,0,0
tor,30,0.004,0
por,23,0,0
cha,19,0,0
sa,18,0,0
det,16,0,0
wsh,16,0,0
