unit,wins,make_playoffs,win_finals
bos,58,1,0.327
cle,54,1,0.124
mil,52,0.997,0.04
phi,51,0.997,0.10800000000000001
mem,51,0.986,0.08
phx,50,0.985,0.138
bkn,49,0.987,0.026000000000000002
den,48,0.9329999999999999,0.027000000000000003
dal,47,0.919,0.062
no,47,0.879,0.019
uta,45,0.782,0.009000000000000001
ny,45,0.877,0.008
sac,44,0.62,0.003
por,43,0.5660000000000001,0.005
lac,43,0.545,0.004
atl,42,0.6829999999999999,0.004
gs,42,0.43700000000000006,0.006999999999999999
min,41,0.317,0.002
mia,40,0.53,0.002
tor,40,0.495,0.002
ind,38,0.253,0
chi,36,0.122,0
lal,36,0.03,0
wsh,34,0.053,0
okc,31,0.001,0
orl,30,0.003,0
cha,29,0.003,0
sa,23,0,0
hou,23,0,0
det,22,0,0
