unit,wins,make_playoffs,win_finals
bos,64,1,0.293
phi,57,1,0.107
okc,56,1,0.031
mil,54,1,0.138
den,53,0.9990000000000001,0.08800000000000001
lac,52,0.998,0.13699999999999998
min,52,0.997,0.047
mia,48,0.9740000000000001,0.022000000000000002
cle,48,0.972,0.04
no,48,0.946,0.017
ind,45,0.823,0.008
ny,45,0.799,0.003
gs,44,0.722,0.03
sac,43,0.643,0.009000000000000001
dal,43,0.586,0.01
orl,42,0.602,0.002
phx,42,0.47600000000000003,0.005
hou,40,0.298,0.001
atl,40,0.386,0.005
lal,40,0.305,0.006
tor,38,0.19,0.002
bkn,38,0.20800000000000002,0.001
uta,35,0.03,0
chi,35,0.047,0
mem,29,0.001,0
cha,24,0,0
por,22,0,0
wsh,20,0,0
det,16,0,0
sa,14,0,0
