unit,wins,make_playoffs,win_finals
bos,65,1,0.496
den,57,1,0.081
min,57,1,0.08
okc,56,1,0.023
lac,53,1,0.057
dal,51,1,0.036000000000000004
mil,50,1,0.109
ny,49,1,0.011000000000000001
no,49,0.9159999999999999,0.006
cle,48,0.998,0.033
phx,47,0.78,0.006
ind,47,0.98,0.008
orl,47,0.9179999999999999,0.002
sac,47,0.546,0.001
phi,46,0.9229999999999999,0.02
gs,46,0.48,0.015
mia,46,0.917,0.011000000000000001
lal,46,0.278,0.006999999999999999
hou,41,0,0
chi,38,0.111,0
atl,37,0.155,0
bkn,32,0,0
uta,29,0,0
mem,27,0,0
tor,25,0,0
por,22,0,0
sa,21,0,0
cha,19,0,0
wsh,15,0,0
det,14,0,0
