unit,wins,make_playoffs,win_finals
bos,64,1,0.27899999999999997
phi,59,1,0.122
mil,56,1,0.146
min,55,1,0.07
den,54,0.9990000000000001,0.092
okc,51,0.981,0.021
lac,50,0.9790000000000001,0.1
mia,48,0.966,0.027999999999999997
gs,46,0.873,0.04
no,46,0.848,0.015
cle,46,0.892,0.025
ny,45,0.795,0.004
sac,44,0.626,0.01
orl,44,0.6579999999999999,0.003
bkn,43,0.705,0.008
dal,43,0.5670000000000001,0.008
lal,42,0.474,0.015
atl,42,0.511,0.006999999999999999
hou,41,0.369,0.002
ind,40,0.364,0.002
phx,40,0.27699999999999997,0.003
chi,36,0.071,0
tor,34,0.039,0
mem,32,0.006999999999999999,0
uta,31,0.003,0
por,24,0,0
cha,24,0,0
wsh,23,0,0
sa,15,0,0
det,14,0,0
