unit,wins,make_playoffs,win_finals
bos,60,1,0.205
phi,58,1,0.13
mil,55,1,0.16
min,54,0.998,0.07200000000000001
den,53,0.997,0.10099999999999999
lac,52,0.9890000000000001,0.135
okc,50,0.9690000000000001,0.02
no,47,0.87,0.016
ny,47,0.872,0.012
mia,46,0.872,0.022000000000000002
bkn,46,0.8140000000000001,0.016
sac,45,0.743,0.015
cle,45,0.794,0.026000000000000002
dal,45,0.71,0.012
gs,44,0.637,0.027000000000000003
orl,43,0.552,0.002
phx,43,0.5,0.008
atl,42,0.5489999999999999,0.008
ind,42,0.42700000000000005,0.003
lal,42,0.41100000000000003,0.01
hou,39,0.175,0.001
chi,36,0.057,0
tor,36,0.064,0
uta,29,0,0
mem,28,0,0
cha,25,0,0
por,24,0,0
wsh,22,0,0
sa,16,0,0
det,15,0,0
