unit,wins,make_playoffs,win_finals
bos,64,1,0.363
min,58,1,0.091
cle,57,1,0.113
lac,56,1,0.149
okc,56,1,0.025
den,51,0.98,0.03
no,49,0.93,0.011000000000000001
ny,49,0.996,0.024
mil,48,0.9940000000000001,0.084
phx,48,0.84,0.013000000000000001
dal,47,0.768,0.021
phi,47,0.973,0.027999999999999997
gs,46,0.626,0.023
orl,46,0.917,0.002
sac,44,0.405,0.002
lal,44,0.44299999999999995,0.011000000000000001
mia,44,0.904,0.006
ind,44,0.879,0.005
uta,38,0.006,0
chi,38,0.15,0
hou,36,0.003,0
atl,36,0.15,0
bkn,33,0.031,0
mem,30,0,0
tor,30,0.005,0
por,23,0,0
cha,18,0,0
sa,18,0,0
det,17,0,0
wsh,16,0,0
