unit,wins,make_playoffs,win_finals
mil,58,1,0.182
bos,57,1,0.198
den,55,1,0.075
phi,54,1,0.106
cle,51,1,0.057
mem,49,1,0.047
sac,48,1,0.01
ny,48,0.997,0.071
bkn,47,0.987,0.003
lac,45,0.988,0.185
phx,45,0.981,0.028999999999999998
mia,43,0.735,0.002
gs,43,0.83,0.01
dal,42,0.792,0.012
atl,42,0.589,0.002
lal,41,0.564,0.008
tor,40,0.364,0.003
min,40,0.408,0.002
chi,39,0.243,0.001
no,39,0.152,0
okc,38,0.094,0
uta,38,0.086,0
por,38,0.10400000000000001,0
wsh,38,0.065,0
ind,36,0.019,0
orl,33,0,0
cha,25,0,0
sa,21,0,0
hou,19,0,0
det,18,0,0
