unit,wins,make_playoffs,win_finals
mil,58,1,0.08900000000000001
bos,57,1,0.319
phi,54,1,0.141
den,54,1,0.040999999999999995
mem,52,1,0.126
cle,51,1,0.051
sac,50,1,0.01
ny,48,1,0.07
bkn,46,0.997,0.002
phx,45,1,0.023
gs,43,0.935,0.01
mia,43,0.8059999999999999,0.001
lac,43,0.934,0.09300000000000001
lal,42,0.754,0.015
no,42,0.648,0.003
min,42,0.579,0.002
tor,41,0.522,0.004
atl,40,0.345,0
chi,40,0.33,0.002
dal,40,0.08800000000000001,0.001
okc,40,0.059000000000000004,0
uta,38,0.003,0
wsh,36,0,0
ind,35,0,0
orl,35,0,0
por,33,0,0
cha,27,0,0
hou,20,0,0
sa,20,0,0
det,17,0,0
