unit,wins,make_playoffs,win_finals
bos,60,1,0.43200000000000005
cle,51,0.997,0.069
bkn,51,0.996,0.034
phi,50,0.9940000000000001,0.10099999999999999
mem,50,0.98,0.055
den,49,0.968,0.031
mil,48,0.97,0.02
dal,48,0.94,0.067
no,48,0.917,0.017
phx,47,0.914,0.077
lac,47,0.892,0.04
mia,45,0.868,0.019
gs,44,0.741,0.02
sac,43,0.568,0.004
por,42,0.45299999999999996,0.003
uta,42,0.45,0.005
ny,42,0.607,0.004
ind,41,0.513,0.001
atl,40,0.354,0.002
tor,39,0.317,0.001
wsh,39,0.242,0.001
min,38,0.107,0
lal,37,0.07,0
chi,37,0.142,0
okc,28,0,0
cha,28,0.001,0
orl,27,0,0
sa,25,0,0
hou,23,0,0
det,22,0,0
