unit,wins,make_playoffs,win_finals
bos,63,1,0.294
lac,58,1,0.221
cle,56,1,0.111
okc,56,1,0.022000000000000002
den,54,1,0.07400000000000001
min,54,1,0.053
ny,52,0.9990000000000001,0.015
mil,51,0.9990000000000001,0.091
phi,49,0.995,0.043
no,48,0.9420000000000001,0.013000000000000001
phx,47,0.873,0.011000000000000001
sac,45,0.763,0.009000000000000001
ind,45,0.94,0.01
orl,44,0.8809999999999999,0.002
lal,42,0.409,0.008
gs,42,0.4,0.015
dal,42,0.34299999999999997,0.003
uta,41,0.225,0.002
mia,41,0.688,0.003
hou,38,0.045,0
bkn,37,0.231,0.001
atl,36,0.175,0.001
chi,35,0.069,0
tor,32,0.025,0
mem,30,0,0
por,26,0,0
sa,17,0,0
cha,17,0,0
wsh,17,0,0
det,16,0,0
