unit,wins,make_playoffs,win_finals
bos,62,1,0.281
cle,57,1,0.133
min,57,1,0.085
lac,55,1,0.149
okc,54,0.9990000000000001,0.019
den,52,0.993,0.046
mil,51,1,0.133
ny,50,0.998,0.018000000000000002
no,49,0.9259999999999999,0.013000000000000001
phx,48,0.835,0.015
phi,48,0.988,0.023
dal,47,0.815,0.027999999999999997
gs,46,0.624,0.027999999999999997
orl,45,0.914,0.002
sac,44,0.396,0.003
ind,44,0.872,0.006999999999999999
lal,44,0.376,0.01
mia,42,0.795,0.006
uta,39,0.031,0
chi,38,0.16699999999999998,0
atl,37,0.221,0.001
hou,37,0.005,0
bkn,34,0.043,0
tor,30,0.003,0
mem,28,0,0
por,24,0,0
sa,18,0,0
det,17,0,0
cha,17,0,0
wsh,16,0,0
