unit,wins,make_playoffs,win_finals
bos,61,1,0.237
phi,59,1,0.141
min,54,0.9990000000000001,0.065
mil,54,1,0.14400000000000002
den,54,0.998,0.10400000000000001
okc,52,0.9890000000000001,0.018000000000000002
lac,51,0.9940000000000001,0.11800000000000001
mia,48,0.9309999999999999,0.025
no,47,0.917,0.018000000000000002
ny,46,0.845,0.005
gs,45,0.8009999999999999,0.04
cle,45,0.8,0.024
sac,44,0.696,0.011000000000000001
atl,44,0.69,0.013000000000000001
bkn,43,0.638,0.008
dal,43,0.593,0.01
orl,42,0.465,0.003
ind,42,0.455,0.004
phx,41,0.434,0.005
lal,40,0.322,0.005
hou,40,0.252,0.001
chi,38,0.122,0
tor,36,0.054000000000000006,0
mem,31,0.004,0
uta,30,0.001,0
cha,24,0,0
por,24,0,0
wsh,23,0,0
sa,16,0,0
det,14,0,0
