unit,wins,make_playoffs,win_finals
mil,58,1,0.139
bos,56,1,0.20800000000000002
phi,55,1,0.16899999999999998
den,54,1,0.057
cle,52,1,0.07400000000000001
mem,51,1,0.07
sac,49,1,0.011000000000000001
ny,48,1,0.049
bkn,44,0.915,0.001
lac,44,0.968,0.159
mia,44,0.84,0.002
phx,44,0.9359999999999999,0.022000000000000002
gs,42,0.7240000000000001,0.012
dal,42,0.743,0.008
min,41,0.589,0.005
tor,41,0.491,0.003
okc,41,0.35200000000000004,0
atl,41,0.359,0
lal,40,0.4,0.008
chi,40,0.38299999999999995,0.002
uta,40,0.156,0
no,39,0.131,0
wsh,36,0.008,0
ind,36,0.006,0
por,36,0.002,0
orl,34,0,0
cha,25,0,0
sa,21,0,0
hou,20,0,0
det,18,0,0
