unit,wins,make_playoffs,win_finals
bos,58,1,0.305
mem,53,0.9990000000000001,0.11800000000000001
bkn,52,0.998,0.062
phi,52,0.9990000000000001,0.188
cle,52,0.998,0.09300000000000001
den,51,0.997,0.044000000000000004
mil,49,0.976,0.016
no,47,0.9490000000000001,0.026000000000000002
dal,44,0.833,0.017
phx,44,0.825,0.057999999999999996
lac,44,0.772,0.026000000000000002
mia,44,0.795,0.013999999999999999
ind,43,0.701,0.002
sac,43,0.634,0.005
ny,43,0.684,0.004
gs,42,0.5479999999999999,0.008
por,41,0.419,0.004
uta,41,0.409,0.003
min,40,0.353,0.004
lal,40,0.261,0.003
atl,39,0.29600000000000004,0.001
chi,39,0.266,0
tor,39,0.24,0.001
wsh,35,0.046,0
okc,31,0.001,0
orl,29,0.001,0
cha,27,0,0
sa,24,0,0
hou,22,0,0
det,22,0,0
