unit,wins,make_playoffs,win_finals
bos,57,1,0.318
den,54,1,0.081
mil,52,1,0.022000000000000002
phi,51,0.9990000000000001,0.102
cle,51,0.998,0.08
mem,50,0.998,0.09300000000000001
bkn,48,0.988,0.037000000000000005
lac,46,0.966,0.107
ny,45,0.909,0.054000000000000006
sac,45,0.889,0.011000000000000001
dal,45,0.9059999999999999,0.025
mia,44,0.8079999999999999,0.009000000000000001
phx,43,0.696,0.008
gs,42,0.642,0.015
no,42,0.5820000000000001,0.004
atl,42,0.517,0.002
lal,41,0.44799999999999995,0.021
tor,41,0.449,0.005
min,41,0.361,0.004
por,40,0.305,0.002
chi,39,0.207,0
uta,39,0.158,0.001
wsh,38,0.096,0
okc,38,0.049,0
ind,36,0.028999999999999998,0
orl,32,0,0
cha,25,0,0
det,21,0,0
sa,20,0,0
hou,19,0,0
