unit,wins,make_playoffs,win_finals
bos,58,1,0.39
den,54,1,0.052000000000000005
phi,53,1,0.182
mem,52,1,0.11699999999999999
bkn,50,0.995,0.025
cle,50,0.997,0.040999999999999995
mil,49,0.991,0.016
sac,47,0.958,0.018000000000000002
mia,45,0.9109999999999999,0.012
lac,45,0.884,0.057
phx,44,0.826,0.033
gs,43,0.736,0.025
no,43,0.637,0.004
ny,43,0.742,0.009000000000000001
dal,42,0.5770000000000001,0.004
atl,42,0.602,0.003
uta,41,0.396,0.001
lal,41,0.37,0.005
por,40,0.37799999999999995,0.005
chi,39,0.312,0.001
min,39,0.201,0.001
ind,38,0.16899999999999998,0
tor,38,0.156,0.001
wsh,37,0.126,0
okc,36,0.037000000000000005,0
orl,31,0.001,0
cha,26,0,0
sa,24,0,0
det,21,0,0
hou,20,0,0
