unit,wins,make_playoffs,win_finals
bos,57,1,0.326
phi,54,1,0.19899999999999998
den,53,1,0.051
mem,52,1,0.133
cle,50,0.995,0.040999999999999995
mil,49,0.9890000000000001,0.013000000000000001
bkn,49,0.99,0.032
lac,46,0.948,0.098
sac,46,0.9079999999999999,0.012
mia,45,0.88,0.01
ny,44,0.802,0.011000000000000001
gs,43,0.742,0.022000000000000002
phx,43,0.738,0.027000000000000003
dal,42,0.618,0.006999999999999999
no,42,0.544,0.003
atl,42,0.632,0.003
por,41,0.436,0.005
lal,41,0.39899999999999997,0.005
uta,40,0.368,0.001
min,40,0.27699999999999997,0.002
tor,39,0.261,0.001
chi,38,0.166,0
ind,38,0.139,0
wsh,38,0.146,0
okc,36,0.023,0
orl,31,0.001,0
cha,27,0,0
sa,23,0,0
det,23,0,0
hou,19,0,0
