unit,wins,make_playoffs,win_finals
bos,67,1,0.516
den,57,1,0.065
okc,57,1,0.022000000000000002
min,56,1,0.075
lac,52,0.9990000000000001,0.071
mil,52,1,0.11599999999999999
cle,51,1,0.051
no,50,0.9840000000000001,0.009000000000000001
ny,49,0.997,0.013000000000000001
orl,49,0.996,0.003
dal,48,0.9309999999999999,0.021
phx,47,0.762,0.006999999999999999
sac,46,0.684,0.003
ind,46,0.9490000000000001,0.003
mia,45,0.9179999999999999,0.004
lal,45,0.39,0.009000000000000001
phi,44,0.855,0.006999999999999999
gs,44,0.239,0.006
hou,41,0.012,0
chi,40,0.139,0
atl,36,0.141,0
uta,33,0,0
bkn,32,0.006,0
mem,28,0,0
tor,26,0,0
por,22,0,0
cha,19,0,0
sa,18,0,0
wsh,16,0,0
det,15,0,0
