TEAM,WIN-LOSS,PLAY-OFFS,NBATITLE,DRAFTTOP 3,unit,wins,make_playoffs,win_finals
BOS,56-26,100,19.7%,<0.1%,bos,56,1,0.19699999999999998
PHI,52-30,99.0%,12.4%,<0.1%,phi,52,0.99,0.124
MIL,53-29,99.2%,8.7%,<0.1%,mil,53,0.992,0.087
CLE,52-30,98.7%,5.9%,<0.1%,cle,52,0.987,0.059000000000000004
ATL,50-32,96.8%,5.3%,0.1%,atl,50,0.968,0.053
TOR,47-35,92.5%,2.8%,0.3%,tor,47,0.925,0.027999999999999997
MIA,43-39,68.1%,1.1%,1.8%,mia,43,0.6809999999999999,0.011000000000000001
BKN,40-42,40.0%,0.5%,6.0%,bkn,40,0.4,0.005
CHA,38-44,27.1%,0.2%,8.6%,cha,38,0.271,0.002
CHI,39-43,32.1%,0.2%,7.5%,chi,39,0.321,0.002
WSH,39-43,30.5%,0,7.7%,wsh,39,0.305,0
NY,35-47,11.6%,0,14.8%,ny,35,0.11599999999999999,0
IND,33-49,4.3%,0.0%,22.1%,ind,33,0.043,0
ORL,25-57,0,0.0%,36.3%,orl,25,0,0
DET,22-60,0.0%,0.0%,39.7%,det,22,0,0
PHX,55-27,100,16.0%,<0.1%,phx,55,1,0.16
DAL,51-31,98.9%,8.7%,<0.1%,dal,51,0.9890000000000001,0.087
MEM,48-34,94.5%,4.7%,0.3%,mem,48,0.945,0.047
NO,48-34,94.3%,4.2%,0.2%,no,48,0.943,0.042
DEN,47-35,92.8%,3.6%,0.4%,den,47,0.9279999999999999,0.036000000000000004
GS,45-37,84.5%,3.2%,0.8%,gs,45,0.845,0.032
MIN,42-40,68.4%,1.2%,2.1%,min,42,0.684,0.012
UTH,45-37,84.6%,1.1%,0.8%,uta,45,0.846,0.011000000000000001
LAC,38-44,30.3%,0.2%,8.3%,lac,38,0.303,0.002
LAL,37-45,19.2%,0.1%,12.6%,lal,37,0.192,0.001
POR,36-46,18.3%,0,12.5%,por,36,0.183,0
SAC,36-46,13.0%,0,14.5%,sac,36,0.13,0
SA,31-51,1.3%,0.0%,28.4%,sa,31,0.013000000000000001,0
OKC,28-54,0.2%,0.0%,34.8%,okc,28,0.002,0
HOU,22-60,0.0%,0.0%,39.4%,hou,22,0,0
