unit,wins,make_playoffs,win_finals
mil,58,1,0.20199999999999999
den,57,1,0.166
bos,56,1,0.166
phi,53,1,0.078
cle,51,1,0.052000000000000005
ny,49,0.9990000000000001,0.07400000000000001
mem,48,0.998,0.024
sac,47,0.9940000000000001,0.008
bkn,46,0.9740000000000001,0.004
phx,46,0.983,0.023
lac,44,0.965,0.17
dal,44,0.897,0.012
mia,43,0.759,0.002
gs,43,0.8079999999999999,0.013000000000000001
tor,41,0.523,0.002
atl,41,0.469,0.001
min,41,0.502,0.002
lal,41,0.439,0.003
no,39,0.204,0
wsh,39,0.145,0
por,38,0.127,0
okc,38,0.055,0
chi,38,0.10300000000000001,0
uta,37,0.028999999999999998,0
ind,36,0.027000000000000003,0
orl,33,0,0
cha,25,0,0
sa,19,0,0
det,19,0,0
hou,19,0,0
