unit,wins,make_playoffs,win_finals
bos,64,1,0.304
phi,57,1,0.106
okc,56,1,0.03
mil,55,1,0.151
den,53,0.9990000000000001,0.08900000000000001
min,53,0.998,0.052000000000000005
lac,51,0.993,0.11199999999999999
mia,48,0.9690000000000001,0.026000000000000002
no,47,0.892,0.018000000000000002
cle,46,0.9359999999999999,0.03
ny,44,0.792,0.002
gs,44,0.737,0.031
ind,44,0.7659999999999999,0.006999999999999999
sac,43,0.605,0.009000000000000001
orl,43,0.688,0.002
dal,42,0.539,0.008
phx,42,0.489,0.005
lal,42,0.473,0.012
hou,40,0.256,0.001
atl,39,0.306,0.003
bkn,39,0.29600000000000004,0.002
tor,38,0.18899999999999997,0.001
chi,36,0.057,0
uta,35,0.019,0
mem,29,0,0
cha,24,0,0
por,24,0,0
wsh,21,0,0
det,15,0,0
sa,14,0,0
