unit,wins,make_playoffs,win_finals
bos,67,1,0.522
den,57,1,0.062
okc,57,1,0.025
min,56,1,0.06
lac,52,0.998,0.07
mil,52,1,0.11900000000000001
cle,51,1,0.054000000000000006
no,50,0.976,0.008
ny,49,0.998,0.015
dal,48,0.897,0.023
orl,48,0.9840000000000001,0.002
sac,47,0.79,0.006999999999999999
phx,47,0.6579999999999999,0.005
mia,46,0.9440000000000001,0.005
ind,45,0.907,0.002
lal,45,0.37200000000000005,0.009000000000000001
gs,44,0.303,0.006999999999999999
phi,44,0.857,0.006
hou,40,0.006,0
chi,40,0.16,0
atl,36,0.146,0
uta,33,0,0
bkn,31,0.004,0
mem,27,0,0
tor,26,0,0
por,23,0,0
cha,19,0,0
sa,19,0,0
det,15,0,0
wsh,15,0,0
