unit,wins,make_playoffs,win_finals
bos,58,1,0.34
mem,53,1,0.12300000000000001
cle,52,0.9990000000000001,0.111
bkn,52,0.9990000000000001,0.063
den,52,0.998,0.053
phi,50,0.996,0.121
mil,48,0.973,0.012
no,47,0.9440000000000001,0.031
dal,45,0.877,0.019
mia,45,0.8640000000000001,0.019
lac,44,0.7659999999999999,0.03
sac,44,0.732,0.006999999999999999
ny,43,0.7440000000000001,0.005
phx,43,0.753,0.038
ind,42,0.57,0.001
gs,42,0.57,0.011000000000000001
uta,41,0.439,0.004
por,40,0.39799999999999996,0.004
lal,40,0.266,0.003
tor,40,0.322,0.001
min,39,0.255,0.002
atl,39,0.26,0.001
chi,38,0.214,0.001
wsh,36,0.059000000000000004,0
okc,33,0.003,0
orl,29,0.001,0
cha,27,0,0
sa,24,0,0
det,23,0,0
hou,21,0,0
