unit,wins,make_playoffs,win_finals
bos,58,1,0.259
mil,56,1,0.11800000000000001
den,55,1,0.105
phi,52,1,0.034
cle,52,1,0.084
mem,49,0.998,0.033
lac,48,0.997,0.242
bkn,47,0.98,0.002
ny,47,0.985,0.068
dal,44,0.904,0.015
phx,44,0.899,0.013999999999999999
mia,44,0.7909999999999999,0.002
sac,44,0.773,0.001
gs,42,0.648,0.009000000000000001
no,42,0.505,0.001
lal,41,0.483,0.01
atl,41,0.442,0.001
min,40,0.33899999999999997,0.001
tor,40,0.42100000000000004,0.002
wsh,40,0.314,0
uta,39,0.195,0
por,39,0.157,0
okc,38,0.10400000000000001,0
chi,36,0.054000000000000006,0
ind,35,0.011000000000000001,0
orl,33,0.003,0
cha,24,0,0
det,21,0,0
sa,19,0,0
hou,18,0,0
