unit,wins,make_playoffs,win_finals
bos,65,1,0.298
phi,58,1,0.109
mil,55,1,0.154
okc,55,0.9990000000000001,0.028999999999999998
min,53,0.998,0.055999999999999994
den,53,0.9990000000000001,0.09
lac,51,0.99,0.114
mia,48,0.9670000000000001,0.024
cle,46,0.925,0.031
no,46,0.833,0.013999999999999999
sac,45,0.8,0.015
ny,44,0.7609999999999999,0.002
ind,44,0.743,0.006
gs,43,0.644,0.025
orl,43,0.6659999999999999,0.003
dal,42,0.52,0.006999999999999999
phx,42,0.478,0.006999999999999999
lal,42,0.45299999999999996,0.01
bkn,41,0.43700000000000006,0.003
hou,40,0.26899999999999996,0.002
atl,39,0.263,0.002
tor,38,0.16699999999999998,0.001
chi,36,0.07200000000000001,0
uta,35,0.018000000000000002,0
mem,30,0.001,0
por,24,0,0
cha,22,0,0
wsh,21,0,0
det,15,0,0
sa,15,0,0
