unit,wins,make_playoffs,win_finals
bos,58,1,0.273
mil,56,1,0.09699999999999999
den,55,1,0.11
cle,52,1,0.091
phi,52,1,0.040999999999999995
mem,49,0.998,0.03
bkn,47,0.982,0.004
lac,47,0.991,0.228
ny,47,0.985,0.073
phx,45,0.9079999999999999,0.013999999999999999
dal,44,0.898,0.012
mia,44,0.7909999999999999,0.002
sac,44,0.752,0.002
gs,42,0.634,0.008
no,42,0.49,0.001
lal,41,0.452,0.01
min,41,0.436,0.002
atl,41,0.44,0
tor,40,0.426,0.003
uta,40,0.19399999999999998,0
wsh,39,0.262,0
por,39,0.158,0
okc,38,0.08900000000000001,0
chi,37,0.099,0
ind,35,0.012,0
orl,33,0.003,0
cha,24,0,0
det,21,0,0
sa,19,0,0
hou,18,0,0
