unit,wins,make_playoffs,win_finals
bos,58,1,0.209
mil,58,1,0.138
den,56,1,0.08900000000000001
cle,51,1,0.06
phi,51,0.9990000000000001,0.024
mem,49,0.9990000000000001,0.028999999999999998
ny,48,0.997,0.08
lac,47,0.998,0.32299999999999995
sac,46,0.977,0.006
bkn,45,0.912,0.001
dal,44,0.927,0.013000000000000001
phx,44,0.919,0.006999999999999999
mia,44,0.754,0.002
atl,42,0.637,0.001
gs,42,0.68,0.009000000000000001
lal,41,0.45799999999999996,0.004
tor,41,0.406,0.002
no,40,0.3,0.001
uta,40,0.23399999999999999,0
min,39,0.23800000000000002,0.001
por,39,0.222,0
chi,39,0.201,0
wsh,38,0.08199999999999999,0
okc,37,0.048,0
ind,35,0.01,0
orl,34,0.003,0
cha,26,0,0
det,20,0,0
sa,19,0,0
hou,18,0,0
