unit,wins,make_playoffs,win_finals
bos,64,1,0.315
okc,55,1,0.031
den,54,1,0.10099999999999999
min,53,0.9990000000000001,0.055999999999999994
mil,53,0.998,0.139
phi,53,0.998,0.068
lac,52,0.998,0.136
no,49,0.9690000000000001,0.021
cle,49,0.966,0.049
ny,48,0.932,0.004
mia,47,0.9229999999999999,0.016
ind,45,0.815,0.006999999999999999
dal,45,0.8059999999999999,0.012
orl,44,0.731,0.002
gs,43,0.6409999999999999,0.023
sac,43,0.579,0.006999999999999999
phx,42,0.47200000000000003,0.005
tor,40,0.317,0.002
hou,39,0.23600000000000002,0.001
lal,39,0.26,0.004
atl,38,0.152,0.001
bkn,37,0.125,0
chi,36,0.043,0
uta,36,0.035,0
mem,32,0.005,0
por,23,0,0
cha,22,0,0
wsh,18,0,0
det,16,0,0
sa,15,0,0
