unit,wins,make_playoffs,win_finals
bos,61,1,0.21600000000000003
den,54,0.998,0.11800000000000001
phi,53,0.993,0.08
mil,50,0.965,0.11699999999999999
min,49,0.966,0.064
dal,48,0.934,0.037000000000000005
mia,47,0.8909999999999999,0.032
cle,46,0.868,0.045
bkn,46,0.83,0.022000000000000002
atl,46,0.831,0.025
gs,45,0.853,0.054000000000000006
okc,45,0.813,0.017
lac,45,0.8240000000000001,0.075
ny,44,0.7340000000000001,0.013000000000000001
phx,44,0.722,0.019
ind,43,0.618,0.011000000000000001
sac,42,0.608,0.018000000000000002
lal,41,0.5329999999999999,0.022000000000000002
no,40,0.424,0.008
hou,37,0.183,0.001
tor,36,0.131,0.001
orl,35,0.08800000000000001,0
uta,35,0.092,0.002
mem,34,0.051,0.002
chi,33,0.042,0
cha,30,0.006999999999999999,0
wsh,27,0.002,0
det,26,0.001,0
por,26,0,0
sa,21,0,0
