TEAM,WIN-LOSS,PLAY-OFFS,NBATITLE,DRAFTTOP 3
BOS,56-26,>99.9%,19.7%,<0.1%
PHI,52-30,99.0%,12.4%,<0.1%
MIL,53-29,99.2%,8.7%,<0.1%
CLE,52-30,98.7%,5.9%,<0.1%
ATL,50-32,96.8%,5.3%,0.1%
TOR,47-35,92.5%,2.8%,0.3%
MIA,43-39,68.1%,1.1%,1.8%
BKN,40-42,40.0%,0.5%,6.0%
CHA,38-44,27.1%,0.2%,8.6%
CHI,39-43,32.1%,0.2%,7.5%
WSH,39-43,30.5%,<0.1%,7.7%
NY,35-47,11.6%,<0.1%,14.8%
IND,33-49,4.3%,0.0%,22.1%
ORL,25-57,<0.1%,0.0%,36.3%
DET,22-60,0.0%,0.0%,39.7%
PHX,55-27,>99.9%,16.0%,<0.1%
DAL,51-31,98.9%,8.7%,<0.1%
MEM,48-34,94.5%,4.7%,0.3%
NO,48-34,94.3%,4.2%,0.2%
DEN,47-35,92.8%,3.6%,0.4%
GS,45-37,84.5%,3.2%,0.8%
MIN,42-40,68.4%,1.2%,2.1%
UTH,45-37,84.6%,1.1%,0.8%
LAC,38-44,30.3%,0.2%,8.3%
LAL,37-45,19.2%,0.1%,12.6%
POR,36-46,18.3%,<0.1%,12.5%
SAC,36-46,13.0%,<0.1%,14.5%
SA,31-51,1.3%,0.0%,28.4%
OKC,28-54,0.2%,0.0%,34.8%
HOU,22-60,0.0%,0.0%,39.4%
