unit,wins,make_playoffs,win_finals
mil,59,1,0.18600000000000003
bos,56,1,0.158
phi,55,1,0.145
den,54,1,0.057
cle,51,1,0.057
mem,49,1,0.035
sac,49,1,0.012
ny,49,0.9990000000000001,0.064
bkn,46,0.976,0.001
lac,46,0.995,0.215
phx,44,0.9540000000000001,0.019
mia,44,0.833,0.002
gs,43,0.88,0.02
dal,42,0.73,0.01
lal,41,0.57,0.01
atl,41,0.46399999999999997,0
tor,41,0.48200000000000004,0.004
min,40,0.46299999999999997,0.002
okc,40,0.18100000000000002,0
no,39,0.128,0
chi,38,0.17300000000000001,0.002
uta,38,0.075,0
wsh,38,0.06,0
por,37,0.025,0
ind,36,0.013000000000000001,0
orl,33,0,0
cha,25,0,0
sa,21,0,0
hou,20,0,0
det,18,0,0
