unit,wins,make_playoffs,win_finals
bos,62,1,0.28
lac,58,1,0.231
cle,56,1,0.10800000000000001
okc,55,1,0.02
den,54,1,0.067
min,54,0.9990000000000001,0.052000000000000005
mil,52,1,0.109
ny,52,0.9990000000000001,0.013000000000000001
phi,50,0.997,0.040999999999999995
no,48,0.946,0.013999999999999999
phx,46,0.812,0.01
sac,45,0.768,0.01
ind,45,0.938,0.01
orl,43,0.8390000000000001,0.002
lal,42,0.43200000000000005,0.008
gs,42,0.419,0.015
dal,42,0.344,0.003
mia,41,0.7290000000000001,0.006
uta,41,0.195,0.002
hou,39,0.086,0
bkn,36,0.18899999999999997,0
atl,36,0.175,0.001
chi,36,0.11199999999999999,0
tor,32,0.022000000000000002,0
mem,30,0,0
por,25,0,0
sa,17,0,0
cha,17,0,0
wsh,17,0,0
det,16,0,0
