unit,wins,make_playoffs,win_finals
bos,65,1,0.507
okc,57,1,0.03
den,57,1,0.068
min,56,1,0.063
lac,52,1,0.063
mil,52,1,0.121
dal,50,0.997,0.038
cle,50,0.9990000000000001,0.038
no,50,0.955,0.006999999999999999
ny,49,0.997,0.018000000000000002
phx,48,0.815,0.006999999999999999
orl,47,0.968,0.001
ind,46,0.9540000000000001,0.005
sac,46,0.469,0.001
lal,46,0.45799999999999996,0.009000000000000001
mia,46,0.94,0.006999999999999999
gs,45,0.3,0.009000000000000001
phi,44,0.862,0.009000000000000001
hou,42,0.008,0
chi,39,0.098,0
atl,38,0.182,0
bkn,32,0,0
uta,30,0,0
mem,27,0,0
tor,25,0,0
por,21,0,0
sa,20,0,0
cha,19,0,0
wsh,16,0,0
det,14,0,0
