unit,wins,make_playoffs,win_finals
bos,57,1,0.327
den,54,1,0.064
phi,53,1,0.188
mil,51,0.9990000000000001,0.019
mem,50,0.998,0.098
cle,49,0.996,0.052000000000000005
bkn,49,0.993,0.025
lac,47,0.973,0.10800000000000001
sac,45,0.887,0.013000000000000001
phx,45,0.892,0.04
mia,44,0.868,0.009000000000000001
gs,43,0.65,0.012
ny,43,0.718,0.01
atl,42,0.696,0.006
dal,42,0.522,0.005
por,42,0.52,0.008
lal,42,0.47700000000000004,0.009000000000000001
uta,41,0.45299999999999996,0.001
no,40,0.314,0.001
min,40,0.297,0.003
tor,39,0.239,0.001
chi,39,0.22399999999999998,0.001
wsh,38,0.171,0
ind,37,0.09300000000000001,0
okc,36,0.018000000000000002,0
orl,32,0.001,0
cha,26,0,0
det,22,0,0
sa,22,0,0
hou,20,0,0
