unit,wins,make_playoffs,win_finals
bos,58,1,0.179
den,54,0.9990000000000001,0.109
phi,54,0.997,0.09300000000000001
gs,51,0.992,0.092
mil,50,0.977,0.12
min,48,0.963,0.059000000000000004
dal,47,0.943,0.037000000000000005
atl,47,0.919,0.033
lac,47,0.953,0.099
cle,45,0.856,0.043
bkn,45,0.825,0.022000000000000002
phx,43,0.7390000000000001,0.015
mia,43,0.675,0.017
ny,42,0.601,0.011000000000000001
ind,42,0.5710000000000001,0.01
lal,41,0.628,0.023
okc,41,0.56,0.01
tor,39,0.36700000000000005,0.003
no,39,0.431,0.006999999999999999
sac,38,0.36,0.009000000000000001
hou,36,0.20600000000000002,0.003
orl,35,0.096,0.002
chi,35,0.08900000000000001,0.001
uta,35,0.11199999999999999,0.002
mem,34,0.109,0.003
cha,31,0.016,0
wsh,30,0.011000000000000001,0
por,28,0.005,0
det,27,0.002,0
sa,24,0,0
