unit,wins,make_playoffs,win_finals
bos,61,1,0.235
phi,59,1,0.14400000000000002
den,55,1,0.10800000000000001
min,54,0.9990000000000001,0.064
mil,54,0.9990000000000001,0.14
okc,52,0.99,0.019
lac,51,0.993,0.11800000000000001
mia,48,0.9620000000000001,0.031
no,48,0.9329999999999999,0.019
ny,46,0.875,0.006
gs,45,0.828,0.037000000000000005
sac,45,0.782,0.015
cle,44,0.785,0.023
bkn,43,0.643,0.006999999999999999
atl,43,0.607,0.009000000000000001
orl,42,0.489,0.002
dal,42,0.508,0.006
ind,41,0.442,0.003
hou,40,0.307,0.001
phx,40,0.326,0.004
lal,40,0.32799999999999996,0.008
chi,38,0.147,0
tor,36,0.05,0
mem,31,0.004,0
uta,30,0.001,0
cha,24,0,0
por,24,0,0
wsh,23,0,0
sa,15,0,0
det,14,0,0
