TEAM,WIN-LOSS,PLAY-OFFS,NBATITLE,DRAFTTOP 3
BOS,61-21,>99.9%,33.3%,
PHI,51-31,99.3%,9.9%,
MIL,52-30,99.4%,6.7%,
CLE,51-31,98.8%,5.7%,
ATL,49-33,96.2%,3.1%,0.2%
BKN,43-39,71.4%,1.3%,2.1%
TOR,45-37,85.2%,1.3%,0.7%
MIA,43-39,69.6%,0.9%,2.4%
CHI,37-45,17.8%,,12.5%
WSH,38-44,25.0%,,9.1%
NY,37-45,19.3%,,11.3%
IND,36-46,15.5%,,12.8%
CHA,32-50,2.5%,0.0%,24.2%
ORL,25-57,,0.0%,37.1%
DET,21-61,0.0%,0.0%,39.3%
PHX,53-29,99.7%,15.1%,
MEM,48-34,94.2%,5.0%,0.3%
DAL,47-35,92.2%,4.5%,0.4%
DEN,48-34,93.0%,3.9%,0.3%
GS,45-37,79.6%,3.2%,1.2%
NO,47-35,90.2%,2.6%,0.5%
UTH,47-35,88.7%,2.1%,0.6%
SAC,42-40,49.2%,0.5%,3.4%
MIN,40-42,36.9%,0.4%,5.4%
LAC,39-43,29.1%,0.2%,7.3%
POR,41-41,43.8%,0.2%,4.3%
LAL,33-49,3.1%,,21.1%
OKC,30-52,0.2%,0.0%,29.7%
SA,28-54,,0.0%,34.8%
HOU,23-59,0.0%,0.0%,39.1%
