unit,wins,make_playoffs,win_finals
bos,64,1,0.41
den,57,1,0.114
okc,57,1,0.128
min,56,1,0.06
lac,51,1,0.037000000000000005
dal,50,1,0.055999999999999994
ny,50,1,0.025
no,49,1,0.009000000000000001
mil,49,1,0.013999999999999999
phx,49,1,0.011000000000000001
cle,48,1,0.037000000000000005
ind,47,1,0.021
lal,47,1,0.009000000000000001
orl,47,1,0.004
phi,47,1,0.042
gs,46,0,0
mia,46,1,0.025
sac,46,0,0
hou,41,0,0
chi,39,0,0
atl,36,0,0
bkn,32,0,0
uta,31,0,0
mem,27,0,0
tor,25,0,0
sa,22,0,0
por,21,0,0
cha,21,0,0
wsh,15,0,0
det,14,0,0
