unit,wins,make_playoffs,win_finals
bos,56,0.9990000000000001,0.156
den,53,0.993,0.09699999999999999
lac,52,0.99,0.12300000000000001
mil,52,0.993,0.127
phi,51,0.99,0.08199999999999999
gs,50,0.9790000000000001,0.083
atl,46,0.9079999999999999,0.036000000000000004
cle,46,0.898,0.055999999999999994
lal,44,0.7809999999999999,0.037000000000000005
dal,44,0.769,0.028999999999999998
bkn,44,0.816,0.023
min,44,0.735,0.034
phx,44,0.695,0.018000000000000002
mia,44,0.778,0.025
sac,43,0.669,0.019
ny,42,0.679,0.013000000000000001
no,41,0.506,0.012
okc,41,0.47700000000000004,0.009000000000000001
ind,39,0.38799999999999996,0.006999999999999999
mem,38,0.242,0.006999999999999999
uta,36,0.15,0.003
chi,36,0.18,0.001
orl,36,0.16,0.001
tor,35,0.158,0.002
det,31,0.022000000000000002,0
por,30,0.011000000000000001,0
wsh,30,0.017,0
cha,30,0.013999999999999999,0
hou,28,0.003,0
sa,24,0,0
