unit,wins,make_playoffs,win_finals
bos,66,1,0.531
den,57,1,0.067
min,57,1,0.064
okc,56,1,0.02
mil,52,1,0.12
lac,51,0.996,0.054000000000000006
ny,50,1,0.023
no,50,0.9690000000000001,0.008
cle,50,0.9990000000000001,0.040999999999999995
dal,49,0.966,0.03
phx,48,0.7440000000000001,0.005
orl,47,0.975,0.001
lal,46,0.5429999999999999,0.013000000000000001
sac,46,0.522,0.002
ind,46,0.9470000000000001,0.003
mia,45,0.9209999999999999,0.005
gs,44,0.24,0.005
phi,44,0.872,0.008
hou,42,0.02,0
chi,39,0.113,0
atl,37,0.172,0
bkn,32,0.001,0
uta,31,0,0
mem,27,0,0
tor,25,0,0
por,21,0,0
cha,20,0,0
sa,19,0,0
wsh,17,0,0
det,14,0,0
