TEAM,WIN-LOSS,PLAY-OFFS,NBATITLE,DRAFTTOP 3
BOS,59-23,>99.9%,28.8%,<0.1%
PHI,51-31,99.2%,10.4%,<0.1%
CLE,52-30,99.2%,7.1%,<0.1%
MIL,51-31,98.8%,5.4%,<0.1%
ATL,50-32,98.0%,4.8%,0.1%
BKN,43-39,72.0%,1.4%,2.2%
TOR,44-38,80.3%,1.1%,1.1%
MIA,43-39,74.2%,1.0%,1.5%
WSH,39-43,28.4%,<0.1%,7.7%
CHI,38-44,22.4%,<0.1%,9.6%
NY,36-46,14.0%,<0.1%,13.4%
IND,35-47,8.5%,0.0%,16.6%
CHA,34-48,4.9%,0.0%,19.8%
ORL,26-56,<0.1%,0.0%,37.0%
DET,21-61,0.0%,0.0%,40.1%
PHX,52-30,99.3%,14.2%,<0.1%
DAL,49-33,96.4%,6.2%,0.1%
MEM,48-34,93.7%,5.1%,0.2%
DEN,49-33,94.9%,4.5%,0.2%
GS,46-36,84.7%,3.9%,0.8%
NO,46-36,86.5%,2.6%,0.5%
UTH,46-36,88.4%,1.8%,0.4%
SAC,42-40,49.3%,0.7%,3.4%
MIN,39-43,28.1%,0.3%,7.3%
POR,41-41,43.0%,0.2%,4.1%
LAC,40-42,32.4%,0.2%,6.7%
LAL,33-49,3.1%,<0.1%,20.0%
OKC,28-54,0.1%,0.0%,32.7%
SA,28-54,0.1%,0.0%,33.8%
HOU,22-60,0.0%,0.0%,40.6%
