TEAM,WIN-LOSS,PLAY-OFFS,NBATITLE,DRAFTTOP 3,unit,wins,make_playoffs,win_finals
BOS,56-26,100,20.9%,<0.1%,bos,56,1,0.209
PHI,53-29,99.6%,13.0%,<0.1%,phi,53,0.996,0.13
MIL,52-30,99.1%,7.6%,<0.1%,mil,52,0.991,0.076
CLE,51-31,98.9%,6.3%,<0.1%,cle,51,0.9890000000000001,0.063
ATL,48-34,94.7%,4.5%,0.2%,atl,48,0.9470000000000001,0.045
TOR,45-37,84.9%,1.5%,0.6%,tor,45,0.8490000000000001,0.015
MIA,43-39,68.2%,1.1%,1.9%,mia,43,0.682,0.011000000000000001
BKN,40-42,45.4%,0.6%,5.2%,bkn,40,0.45399999999999996,0.006
CHA,40-42,42.8%,0.4%,5.5%,cha,40,0.428,0.004
CHI,38-44,26.9%,0.2%,9.1%,chi,38,0.26899999999999996,0.002
WSH,37-45,17.8%,0,11.9%,wsh,37,0.17800000000000002,0
NY,36-46,16.7%,0,13.4%,ny,36,0.16699999999999998,0
IND,33-49,5.0%,0,21.0%,ind,33,0.05,0
ORL,24-58,0,0.0%,38.7%,orl,24,0,0
DET,23-59,0.0%,0.0%,39.2%,det,23,0,0
PHX,55-27,99.9%,15.6%,<0.1%,phx,55,0.9990000000000001,0.156
DAL,51-31,98.7%,9.4%,<0.1%,dal,51,0.987,0.094
MEM,47-35,93.2%,4.6%,0.3%,mem,47,0.932,0.046
NO,48-34,95.9%,4.3%,0.2%,no,48,0.9590000000000001,0.043
DEN,46-36,90.5%,3.3%,0.5%,den,46,0.905,0.033
GS,45-37,87.1%,3.3%,0.6%,gs,45,0.871,0.033
UTH,45-37,85.8%,1.6%,0.6%,uta,45,0.858,0.016
MIN,42-40,68.5%,1.1%,2.2%,min,42,0.685,0.011000000000000001
LAL,36-46,16.8%,0.2%,13.3%,lal,36,0.168,0.002
LAC,37-45,26.2%,0.1%,9.8%,lac,37,0.262,0.001
POR,37-45,21.5%,0,10.8%,por,37,0.215,0
SAC,35-47,12.3%,0,15.9%,sac,35,0.12300000000000001,0
SA,32-50,3.3%,0.0%,24.9%,sa,32,0.033,0
OKC,28-54,0.2%,0.0%,34.0%,okc,28,0.002,0
HOU,22-60,0,0.0%,40.0%,hou,22,0,0
