unit,wins,make_playoffs,win_finals
bos,58,1,0.28300000000000003
mem,53,1,0.125
bkn,52,0.9990000000000001,0.067
phi,52,0.9990000000000001,0.187
cle,52,0.9990000000000001,0.094
den,52,0.998,0.055999999999999994
mil,50,0.99,0.021
no,47,0.943,0.025
dal,44,0.8140000000000001,0.02
lac,44,0.7709999999999999,0.028999999999999998
sac,44,0.71,0.006999999999999999
phx,44,0.7759999999999999,0.04
ny,43,0.752,0.004
mia,43,0.772,0.015
ind,42,0.65,0.002
gs,42,0.55,0.011000000000000001
uta,41,0.431,0.003
por,41,0.41600000000000004,0.004
lal,41,0.344,0.005
min,39,0.24600000000000002,0.003
atl,39,0.289,0.001
tor,39,0.261,0.001
chi,38,0.214,0
wsh,36,0.07400000000000001,0
okc,31,0.001,0
orl,29,0,0
cha,27,0,0
sa,24,0,0
det,23,0,0
hou,21,0,0
