unit,wins,make_playoffs,win_finals
bos,65,1,0.512
okc,57,1,0.027999999999999997
den,57,1,0.07
min,56,1,0.059000000000000004
lac,52,1,0.059000000000000004
mil,52,1,0.12300000000000001
dal,50,0.998,0.035
no,50,0.976,0.008
cle,50,0.9990000000000001,0.04
ny,48,0.996,0.019
orl,47,0.9690000000000001,0.001
phx,47,0.693,0.004
ind,46,0.943,0.004
lal,46,0.5379999999999999,0.011000000000000001
sac,46,0.47100000000000003,0.001
mia,46,0.946,0.006999999999999999
gs,45,0.318,0.009000000000000001
phi,44,0.867,0.01
hou,42,0.006999999999999999,0
chi,40,0.115,0
atl,38,0.16399999999999998,0.001
bkn,32,0,0
uta,30,0,0
mem,26,0,0
tor,25,0,0
por,21,0,0
sa,20,0,0
cha,19,0,0
wsh,16,0,0
det,15,0,0
