unit,wins,make_playoffs,win_finals
bos,64,1,0.26899999999999996
phi,59,1,0.125
mil,57,1,0.16
okc,54,0.9990000000000001,0.024
min,54,0.9990000000000001,0.059000000000000004
den,54,1,0.096
mia,50,0.99,0.033
lac,49,0.981,0.106
cle,46,0.924,0.028999999999999998
ny,45,0.8029999999999999,0.003
no,44,0.76,0.01
gs,44,0.7440000000000001,0.032
orl,43,0.695,0.002
dal,43,0.652,0.011000000000000001
sac,43,0.622,0.01
lal,42,0.562,0.013999999999999999
ind,42,0.597,0.004
phx,42,0.465,0.005
bkn,42,0.547,0.003
hou,39,0.20600000000000002,0.001
atl,39,0.28,0.003
tor,36,0.099,0.001
chi,36,0.065,0
uta,32,0.005,0
mem,32,0.006,0
por,25,0,0
cha,23,0,0
wsh,22,0,0
sa,15,0,0
det,14,0,0
