unit,wins,make_playoffs,win_finals
bos,66,1,0.46
okc,56,1,0.031
min,56,1,0.063
den,54,1,0.045
cle,54,1,0.063
lac,53,0.9990000000000001,0.09699999999999999
mil,52,1,0.127
no,50,0.97,0.013000000000000001
orl,48,0.966,0.003
ny,48,0.971,0.011000000000000001
mia,47,0.9590000000000001,0.009000000000000001
phi,47,0.9540000000000001,0.021
dal,46,0.7090000000000001,0.017
phx,46,0.634,0.006
sac,46,0.619,0.005
gs,45,0.539,0.016
lal,45,0.53,0.013999999999999999
ind,44,0.853,0.003
chi,39,0.14300000000000002,0
hou,36,0.001,0
atl,36,0.12300000000000001,0
uta,35,0,0
bkn,33,0.03,0
tor,29,0.001,0
mem,27,0,0
por,23,0,0
cha,19,0,0
sa,19,0,0
det,16,0,0
wsh,15,0,0
