unit,wins,make_playoffs,win_finals
bos,64,1,0.3
okc,56,1,0.033
den,54,1,0.092
lac,54,1,0.156
min,53,0.9990000000000001,0.052000000000000005
phi,53,0.997,0.077
mil,52,0.9940000000000001,0.131
cle,49,0.966,0.049
no,49,0.975,0.018000000000000002
ny,48,0.937,0.004
mia,48,0.943,0.021
ind,46,0.86,0.008
dal,45,0.797,0.012
orl,44,0.687,0.002
gs,43,0.6629999999999999,0.024
sac,43,0.601,0.006
phx,41,0.39399999999999996,0.004
tor,40,0.297,0.002
hou,39,0.223,0.001
lal,39,0.249,0.005
atl,38,0.152,0.001
uta,37,0.1,0.001
bkn,37,0.11599999999999999,0
chi,36,0.051,0
mem,28,0,0
por,23,0,0
cha,22,0,0
wsh,19,0,0
sa,15,0,0
det,15,0,0
