TEAM,WIN-LOSS,PLAY-OFFS,NBATITLE,DRAFTTOP 3,unit,wins,make_playoffs,win_finals
BOS,61-21,100,33.3%,<0.1%,bos,61,1,0.33299999999999996
PHI,51-31,99.3%,9.9%,<0.1%,phi,51,0.993,0.099
MIL,52-30,99.4%,6.7%,<0.1%,mil,52,0.9940000000000001,0.067
CLE,51-31,98.8%,5.7%,<0.1%,cle,51,0.988,0.057
ATL,49-33,96.2%,3.1%,0.2%,atl,49,0.9620000000000001,0.031
BKN,43-39,71.4%,1.3%,2.1%,bkn,43,0.7140000000000001,0.013000000000000001
TOR,45-37,85.2%,1.3%,0.7%,tor,45,0.852,0.013000000000000001
MIA,43-39,69.6%,0.9%,2.4%,mia,43,0.696,0.009000000000000001
CHI,37-45,17.8%,0,12.5%,chi,37,0.17800000000000002,0
WSH,38-44,25.0%,0,9.1%,wsh,38,0.25,0
NY,37-45,19.3%,0,11.3%,ny,37,0.193,0
IND,36-46,15.5%,0,12.8%,ind,36,0.155,0
CHA,32-50,2.5%,0.0%,24.2%,cha,32,0.025,0
ORL,25-57,0,0.0%,37.1%,orl,25,0,0
DET,21-61,0.0%,0.0%,39.3%,det,21,0,0
PHX,53-29,99.7%,15.1%,<0.1%,phx,53,0.997,0.151
MEM,48-34,94.2%,5.0%,0.3%,mem,48,0.9420000000000001,0.05
DAL,47-35,92.2%,4.5%,0.4%,dal,47,0.922,0.045
DEN,48-34,93.0%,3.9%,0.3%,den,48,0.93,0.039
GS,45-37,79.6%,3.2%,1.2%,gs,45,0.7959999999999999,0.032
NO,47-35,90.2%,2.6%,0.5%,no,47,0.902,0.026000000000000002
UTH,47-35,88.7%,2.1%,0.6%,uta,47,0.887,0.021
SAC,42-40,49.2%,0.5%,3.4%,sac,42,0.49200000000000005,0.005
MIN,40-42,36.9%,0.4%,5.4%,min,40,0.369,0.004
LAC,39-43,29.1%,0.2%,7.3%,lac,39,0.29100000000000004,0.002
POR,41-41,43.8%,0.2%,4.3%,por,41,0.43799999999999994,0.002
LAL,33-49,3.1%,0,21.1%,lal,33,0.031,0
OKC,30-52,0.2%,0.0%,29.7%,okc,30,0.002,0
SA,28-54,0,0.0%,34.8%,sa,28,0,0
HOU,23-59,0.0%,0.0%,39.1%,hou,23,0,0
