TEAM,WIN-LOSS,PLAY-OFFS,NBATITLE,DRAFTTOP 3
BOS,57-25,>99.9%,20.4%,<0.1%
PHI,50-32,98.5%,10.4%,<0.1%
MIL,55-27,99.7%,9.9%,<0.1%
CLE,53-29,99.5%,7.3%,<0.1%
ATL,50-32,97.2%,4.7%,<0.1%
TOR,47-35,91.5%,2.3%,0.4%
BKN,43-39,73.1%,1.6%,1.5%
MIA,42-40,62.5%,0.7%,2.4%
CHI,39-43,31.6%,0.1%,7.1%
CHA,36-46,15.1%,<0.1%,12.5%
WSH,36-46,13.6%,<0.1%,13.1%
NY,35-47,11.9%,<0.1%,14.1%
IND,34-48,5.8%,0.0%,18.4%
ORL,25-57,<0.1%,0.0%,37.8%
DET,21-61,0.0%,0.0%,39.9%
PHX,54-28,99.8%,13.8%,<0.1%
DAL,51-31,98.8%,8.6%,<0.1%
MEM,49-33,96.8%,5.9%,0.1%
DEN,48-34,95.1%,4.4%,0.2%
NO,48-34,93.9%,3.3%,0.3%
GS,44-38,79.6%,3.1%,1.1%
UTH,47-35,91.2%,2.1%,0.4%
MIN,42-40,59.7%,0.7%,2.6%
LAC,39-43,36.3%,0.2%,5.9%
LAL,36-46,12.5%,0.1%,14.0%
SAC,36-46,16.6%,<0.1%,12.3%
POR,37-45,18.8%,<0.1%,11.1%
SA,29-53,0.6%,0.0%,31.1%
OKC,27-55,0.1%,0.0%,33.8%
HOU,22-60,0.0%,0.0%,39.6%
